Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
24,Female,60.10,1.79,170.00,165.00,63.00,1.97,"1,625.00",Cardio,15.90,2.70,4.00,3.00,18.76
27,Male,88.50,1.98,161.00,153.00,53.00,1.80,"1,515.00",Cardio,11.10,3.50,4.00,3.00,22.57
43,Male,82.90,1.95,181.00,160.00,70.00,1.90,"1,505.00",Cardio,12.90,3.50,5.00,3.00,21.80
29,Male,88.10,1.93,186.00,143.00,66.00,1.88,"1,479.00",Cardio,11.10,3.50,5.00,3.00,23.65
59,Male,85.50,1.67,190.00,144.00,71.00,1.99,"1,418.00",Cardio,15.00,3.50,5.00,3.00,30.66
38,Male,85.80,1.80,168.00,149.00,68.00,1.72,"1,410.00",Cardio,10.10,3.50,4.00,3.00,26.48
36,Male,70.30,1.72,174.00,169.00,73.00,1.49,"1,385.00",Cardio,21.30,2.30,3.00,2.00,23.76
40,Female,62.60,1.53,197.00,143.00,73.00,1.93,"1,380.00",Cardio,18.10,2.70,5.00,3.00,26.74
38,Male,83.60,1.74,164.00,151.00,51.00,1.66,"1,379.00",Cardio,11.60,3.50,5.00,3.00,27.61
23,Female,60.90,1.62,193.00,168.00,69.00,1.59,"1,336.00",Cardio,16.80,2.70,5.00,3.00,23.21
19,Female,59.10,1.57,184.00,162.00,50.00,1.65,"1,336.00",Cardio,17.90,2.70,5.00,3.00,23.98
23,Male,81.40,1.85,194.00,150.00,74.00,1.60,"1,320.00",Cardio,12.40,3.50,4.00,3.00,23.78
29,Male,88.00,1.89,199.00,137.00,54.00,1.75,"1,319.00",Cardio,13.30,3.50,5.00,3.00,24.64
23,Male,114.80,1.60,182.00,163.00,60.00,1.47,"1,318.00",Cardio,21.70,2.70,4.00,2.00,44.84
25,Female,59.40,1.51,185.00,161.00,54.00,1.62,"1,304.00",Cardio,19.80,2.70,5.00,3.00,26.05
25,Male,95.60,1.90,190.00,160.00,72.00,1.47,"1,294.00",Cardio,23.80,2.40,4.00,2.00,26.48
57,Male,81.40,1.86,162.00,145.00,70.00,1.80,"1,292.00",Cardio,12.00,3.50,5.00,3.00,23.53
20,Male,85.70,1.92,172.00,136.00,58.00,1.72,"1,287.00",Cardio,10.50,3.50,5.00,3.00,23.25
23,Male,83.80,1.99,179.00,130.00,71.00,1.79,"1,280.00",Cardio,11.00,3.50,4.00,3.00,21.16
22,Male,102.10,1.85,190.00,157.00,67.00,1.48,"1,278.00",Cardio,28.10,2.40,4.00,2.00,29.83
34,Female,56.20,1.77,192.00,138.00,59.00,1.81,"1,249.00",Cardio,17.30,2.70,5.00,3.00,17.94
48,Male,80.60,1.77,198.00,167.00,66.00,1.51,"1,248.00",Cardio,12.90,3.50,4.00,3.00,25.73
35,Male,62.80,1.63,184.00,160.00,63.00,1.41,"1,241.00",Cardio,21.90,3.70,4.00,2.00,23.64
43,Female,55.20,1.73,167.00,165.00,62.00,1.67,"1,240.00",Cardio,16.60,2.70,5.00,3.00,18.44
19,Female,64.30,1.63,197.00,132.00,57.00,1.87,"1,234.00",Cardio,18.00,2.70,5.00,3.00,24.20
50,Male,89.60,1.68,182.00,139.00,74.00,1.79,"1,232.00",Cardio,12.20,3.50,5.00,3.00,31.75
52,Female,61.50,1.69,160.00,152.00,63.00,1.80,"1,231.00",Cardio,15.50,2.70,4.00,3.00,21.53
30,Female,61.60,1.52,178.00,138.00,71.00,1.78,"1,228.00",Cardio,19.50,2.70,4.00,3.00,26.66
56,Female,64.20,1.69,190.00,137.00,61.00,1.99,"1,227.00",Cardio,19.60,2.70,5.00,3.00,22.48
50,Male,86.70,1.63,161.00,143.00,58.00,1.70,"1,203.00",Cardio,12.10,3.50,4.00,3.00,32.63
22,Male,96.30,1.63,180.00,162.00,62.00,1.35,"1,203.00",Cardio,27.10,2.40,4.00,2.00,36.25
36,Female,47.20,1.74,196.00,160.00,53.00,1.50,"1,200.00",Cardio,32.20,1.60,4.00,2.00,15.59
36,Male,90.30,1.65,169.00,158.00,71.00,1.38,"1,199.00",Cardio,23.70,3.40,4.00,2.00,33.17
39,Male,81.70,1.75,165.00,165.00,55.00,1.32,"1,198.00",Cardio,29.10,2.80,4.00,2.00,26.68
32,Male,85.30,1.64,178.00,123.00,69.00,1.77,"1,197.00",Cardio,13.20,3.50,4.00,3.00,31.71
32,Male,87.90,1.88,173.00,143.00,64.00,1.52,"1,195.00",Cardio,11.60,3.50,5.00,3.00,24.87
40,Male,93.60,1.93,188.00,157.00,60.00,1.38,"1,192.00",Cardio,22.10,2.00,3.00,1.00,25.13
46,Male,45.00,1.77,185.00,162.00,58.00,1.48,"1,187.00",Cardio,29.10,3.60,3.00,2.00,14.36
20,Female,64.30,1.78,188.00,137.00,61.00,1.71,"1,171.00",Cardio,18.70,2.70,4.00,3.00,20.29
19,Female,49.10,1.68,193.00,164.00,58.00,1.42,"1,164.00",Cardio,25.30,2.60,4.00,2.00,17.40
41,Male,82.50,1.79,185.00,139.00,61.00,1.69,"1,163.00",Cardio,14.70,3.50,4.00,3.00,25.75
34,Female,74.20,1.57,178.00,158.00,52.00,1.47,"1,161.00",Cardio,32.70,2.40,3.00,1.00,30.10
46,Female,58.00,1.53,196.00,140.00,62.00,1.83,"1,153.00",Cardio,18.40,2.70,4.00,3.00,24.78
49,Male,88.60,2.00,162.00,127.00,56.00,1.83,"1,150.00",Cardio,14.90,3.50,4.00,3.00,22.15
46,Female,61.00,1.71,181.00,153.00,61.00,1.67,"1,150.00",Cardio,17.80,2.70,4.00,3.00,20.86
25,Male,105.00,1.88,174.00,156.00,67.00,1.34,"1,150.00",Cardio,21.40,2.30,3.00,2.00,29.71
33,Male,45.90,1.89,193.00,144.00,50.00,1.45,"1,148.00",Cardio,21.60,2.90,3.00,2.00,12.85
53,Male,84.20,1.76,165.00,137.00,69.00,1.67,"1,133.00",Cardio,12.80,3.50,5.00,3.00,27.18
19,Male,87.80,1.78,195.00,161.00,72.00,1.28,"1,133.00",Cardio,23.60,3.30,2.00,1.00,27.71
45,Male,51.10,1.87,177.00,158.00,57.00,1.44,"1,126.00",Cardio,26.20,3.40,4.00,2.00,14.61
56,Male,88.50,1.85,161.00,144.00,59.00,1.57,"1,119.00",Cardio,11.00,3.50,4.00,3.00,25.86
29,Male,106.50,1.81,177.00,156.00,60.00,1.29,"1,107.00",Cardio,25.70,2.50,4.00,2.00,32.51
58,Male,103.50,1.66,172.00,168.00,61.00,1.33,"1,106.00",Cardio,24.60,3.10,3.00,1.00,37.56
30,Male,90.00,1.66,165.00,152.00,71.00,1.32,"1,104.00",Cardio,26.60,2.10,4.00,2.00,32.66
38,Male,61.30,1.97,177.00,146.00,51.00,1.37,"1,100.00",Cardio,23.50,2.80,3.00,1.00,15.80
30,Male,121.60,2.00,179.00,160.00,60.00,1.24,"1,091.00",Cardio,28.00,3.30,4.00,2.00,30.40
55,Male,91.80,1.78,165.00,153.00,65.00,1.44,"1,091.00",Cardio,23.50,3.40,3.00,1.00,28.97
34,Male,110.50,1.86,188.00,139.00,62.00,1.42,"1,086.00",Cardio,22.30,3.60,2.00,1.00,31.94
40,Male,58.20,1.98,198.00,138.00,74.00,1.43,"1,085.00",Cardio,24.00,2.50,3.00,2.00,14.85
36,Male,121.90,1.93,195.00,132.00,54.00,1.49,"1,082.00",Cardio,21.80,3.40,3.00,2.00,32.73
38,Male,68.70,1.92,170.00,150.00,73.00,1.31,"1,081.00",Cardio,29.00,3.00,4.00,2.00,18.64
23,Male,80.90,1.80,178.00,126.00,59.00,1.55,"1,074.00",Cardio,10.70,3.50,4.00,3.00,24.97
20,Male,101.00,1.91,179.00,143.00,58.00,1.36,"1,070.00",Cardio,29.30,2.70,3.00,2.00,27.69
23,Female,65.20,1.62,192.00,156.00,59.00,1.37,"1,069.00",Cardio,31.10,2.50,3.00,2.00,24.84
56,Female,55.70,1.53,190.00,124.00,66.00,1.91,"1,066.00",Cardio,16.10,2.70,5.00,3.00,23.79
45,Male,78.30,1.96,166.00,167.00,62.00,1.29,"1,066.00",Cardio,29.00,2.20,3.00,1.00,20.38
56,Male,109.60,1.66,188.00,166.00,66.00,1.29,"1,060.00",Cardio,20.50,3.10,3.00,2.00,39.77
25,Male,112.40,1.96,188.00,135.00,72.00,1.42,"1,054.00",Cardio,23.20,2.50,2.00,1.00,29.26
42,Female,57.50,1.67,161.00,133.00,63.00,1.76,"1,053.00",Cardio,16.20,2.70,5.00,3.00,20.62
35,Female,78.90,1.64,196.00,164.00,70.00,1.28,"1,050.00",Cardio,25.30,2.60,4.00,2.00,29.34
32,Male,77.40,1.92,174.00,137.00,50.00,1.39,"1,047.00",Cardio,26.70,3.30,3.00,2.00,21.00
30,Female,79.20,1.62,181.00,166.00,66.00,1.26,"1,046.00",Cardio,28.00,2.50,4.00,2.00,30.18
